группа;позиция;нал_сайт;нал_прайс;Δнал;карта_сайт;карта_прайс;Δкарта;cost_usd_сейчас;cost_usd_нужно;статус
iPhone;iPhone 17 Pro Max 512GB Orange (Dual SIM);133000;126000;7000;153000;145000;8000;1705;1613;расхождение
iPad;Apple IPad Pro 13 м5 (2025) Wi-Fi 256GB Space Black;104000;;;120000;;;1128;;нет в прайсе
iPhone;iPhone 17 Pro Max 1TB Orange (Dual SIM);160000;;;184000;;;2043;;нет в прайсе
Mac;Apple MacBook Air 13 M1/8/256 Gold;62000;;;71000;;;702;;нет в прайсе
iPad;iPad Mini 7 A17 (2024) 256GB Purple Wi-Fi;47000;42000;5000;54000;48000;6000;510;493;расхождение
iPad;Apple IPad Pro 11 м5 (2025) Cell 256GB Space Black;85000;91000;-6000;98000;105000;-7000;922;1068;расхождение
iPad;iPad 11 A16 (2025) 128GB Pink Wi-Fi;36000;32000;4000;41000;37000;4000;390;375;расхождение
iPad;Apple IPad Air 11 м3 2024 Wi-Fi 256GB Space Gray;62000;54000;8000;71000;62000;9000;672;634;расхождение
Mac;Apple MacBook Air 13 M4/16/256 Starlight;88000;;;101000;;;996;;нет в прайсе
iPad;Apple IPad Air 11 м3 2024 Wi-Fi 256GB Blue;62000;54000;8000;71000;62000;9000;672;634;расхождение
iPhone;iPhone 16 128GB Teal;56000;54000;2000;64000;62000;2000;716;691;расхождение
iPhone;iPhone 17 256GB Black;65000;62000;3000;75000;71000;4000;833;794;расхождение
iPhone;iPhone 16 256GB White;63000;67000;-4000;72000;77000;-5000;807;858;расхождение
iPhone;iPhone 15 128GB Blue;41000;49000;-8000;47000;56000;-9000;527;627;расхождение
Mac;Apple MacBook Air 13 M1/8/256 Space Gray;56000;;;64000;;;634;;нет в прайсе
iPhone;iPhone 17 Pro 256GB Orange;98000;93000;5000;112000;107000;5000;1249;1190;расхождение
iPad;iPad 11 A16 (2025) 256GB Silver Wi-Fi;50000;44000;6000;57000;51000;6000;542;516;расхождение
Mac;Apple MacBook Air 13 M4/16/256 Midnight;88000;;;101000;;;996;;нет в прайсе
iPad;Apple iPad Air 5 M1 10.9 2022 Wi-Fi 256GB Blue;55000;;;63000;;;596;;нет в прайсе
iPad;Apple iPad Air 5 M1 10.9 2022 Wi-Fi 256GB Space Grey;55000;;;63000;;;596;;нет в прайсе
iPad;Apple IPad Air 11 м3 2024 Wi-Fi 128GB Purple;55000;49000;6000;63000;56000;7000;596;575;расхождение
iPhone;iPhone 15 256GB Blue;45000;57000;-12000;52000;66000;-14000;575;730;расхождение
iPad;Apple IPad Air 11 м3 2024 Wi-Fi 128GB Blue;55000;49000;6000;63000;56000;7000;596;575;расхождение
iPad;iPad 11 A16 (2025) 256GB Blue Wi-Fi;50000;44000;6000;57000;51000;6000;542;516;расхождение
iPhone;iPhone 15 128GB Pink;40000;49000;-9000;46000;56000;-10000;514;627;расхождение
iPad;Apple iPad Pro 11 M5 256 WiFi 2025 Space Black Wi-Fi;87000;81000;6000;100000;93000;7000;944;950;расхождение
iPhone;iPhone 16 128GB Black;56000;54000;2000;64000;62000;2000;716;691;расхождение
Mac;MacBook Air 15 (M4, 2025) 16/256 Midnight;102000;;;117000;;;1154;;нет в прайсе
iPhone;iPhone 16e 128gb black;42000;;;48000;;;534;;нет в прайсе
iPad;iPad Mini 7 A17 (2024) 256GB Starlight Wi-Fi;47000;42000;5000;54000;48000;6000;510;493;расхождение
iPad;Apple IPad Air 11 м3 2024 Wi-Fi 128GB Space Gray;55000;49000;6000;63000;56000;7000;596;575;расхождение
iPhone;iPhone 17 Pro Max 1TB Blue (Dual SIM);159000;;;182000;;;2030;;нет в прайсе
iPad;Apple IPad Pro 11 м5(2025) Cell 512GB Silver;105000;;;121000;;;1139;;нет в прайсе
iPhone;iPhone 14 128gb Midnight;45000;45000;0;51000;52000;-1000;573;576;OK
iPad;Apple IPad Pro 11 м5 (2025) Cell 512GB Space Black;105000;;;121000;;;1139;;нет в прайсе
iPhone;iPhone 16 128GB Ultramarine;56000;54000;2000;64000;62000;2000;716;691;расхождение
iPhone;iPhone 15 128GB Yellow;42000;49000;-7000;48000;56000;-8000;534;627;расхождение
iPhone;iPhone 16 256GB Ultramarine;63000;67000;-4000;72000;77000;-5000;807;858;расхождение
iPhone;iPhone 17 Pro Max 256GB Blue;103000;100000;3000;118000;115000;3000;1314;1280;расхождение
iPhone;iPhone 17 256GB Sage;65000;62000;3000;75000;71000;4000;833;794;расхождение
iPad;Apple iPad Pro 11 M5 256 WiFi 2025 Space Black LTE Wi-Fi;109000;91000;18000;125000;105000;20000;1182;1068;расхождение
iPad;iPad Mini 7 A17 (2024) 256GB Blue Wi-Fi;47000;42000;5000;54000;48000;6000;510;493;расхождение
iPhone;iPhone 15 256GB Pink;45000;57000;-12000;52000;66000;-14000;575;730;расхождение
iPad;Apple IPad Pro 13 м5 (2025) Wi-Fi 512GB Silver;120000;;;138000;;;1301;;нет в прайсе
iPhone;iPhone 16 256GB Teal;63000;67000;-4000;72000;77000;-5000;807;858;расхождение
iPhone;iPhone 15 256GB Yellow;45000;57000;-12000;52000;66000;-14000;575;730;расхождение
iPhone;iPhone 17 Pro 256GB Silver;103000;93000;10000;118000;107000;11000;1314;1190;расхождение
iPhone;iPhone 15 128GB Green;41000;49000;-8000;47000;56000;-9000;521;627;расхождение
iPad;Apple iPad 10.2 Wi-Fi 64GB Space Grey;29000;;;33000;;;315;;нет в прайсе
iPhone;iPhone 17 Pro Max 512GB Silver (Dual SIM);133000;126000;7000;153000;145000;8000;1705;1613;расхождение
iPhone;iPhone 17 Pro 512GB Orange (Dual SIM);120000;118000;2000;138000;136000;2000;1534;1510;расхождение
iPhone;iPhone Air 512GB Black (eSIM);71000;;;82000;;;911;;нет в прайсе
iPad;Apple IPad Air 11 м3 2024 Wi-Fi 256GB Purple;62000;54000;8000;71000;62000;9000;672;634;расхождение
iPhone;iPhone 16 128GB White;56000;54000;2000;64000;62000;2000;716;691;расхождение
iPad;Apple IPad Mini 7 128GB Gray Wi-Fi;44000;42000;2000;51000;48000;3000;477;493;расхождение
iPhone;iPhone 17 256GB Lavender;65000;62000;3000;75000;71000;4000;833;794;расхождение
iPad;Apple iPad Air 5 M1 10.9 2022 Wi-Fi 64GB Space Grey;46000;;;53000;;;499;;нет в прайсе
iPhone;iPhone Air 256GB Gold (eSIM);71000;71000;0;82000;82000;0;911;909;OK
iPad;Apple IPad Mini 7 256GB Starlight Wi-Fi;49000;42000;7000;56000;48000;8000;531;493;расхождение
iPad;Apple iPad Air 5 M1 10.9 2022 Wi-Fi 64GB Blue;46000;;;53000;;;499;;нет в прайсе
iPhone;iPhone 17 Pro Max 1TB Silver (Dual SIM);153000;;;176000;;;1959;;нет в прайсе
Mac;MacBook Pro 16 (M4 Pro, 2024) 24/512 Space Black;215000;;;247000;;;2433;;нет в прайсе
iPad;Apple IPad Air 11 м3 2024 Wi-Fi 128GB Starlight;55000;49000;6000;63000;56000;7000;596;575;расхождение
iPhone;iPhone 15 256GB Green;45000;57000;-12000;52000;66000;-14000;575;730;расхождение
iPhone;iPhone 17 Pro 256GB Blue;101000;93000;8000;116000;107000;9000;1288;1190;расхождение
iPad;iPad 11 A16 (2025) 128GB Silver Wi-Fi;36000;32000;4000;41000;37000;4000;390;375;расхождение
iPhone;iPhone 17 Pro 256GB Silver (Dual SIM);109000;103000;6000;125000;118000;7000;1393;1318;расхождение
iPhone;iPhone 16e 128gb white;42000;;;48000;;;534;;нет в прайсе
iPhone;iPhone 17 Pro Max 512GB Blue (Dual SIM);133000;126000;7000;153000;145000;8000;1705;1613;расхождение
iPhone;iPhone 17 Pro 512GB Blue (Dual SIM);126000;118000;8000;145000;136000;9000;1611;1510;расхождение
iPhone;iPhone 17 Pro 256GB Orange (Dual SIM);108000;103000;5000;124000;118000;6000;1379;1318;расхождение
iPhone;iPhone 17 256GB White;65000;62000;3000;75000;71000;4000;833;794;расхождение
iPhone;iPhone 17 256GB Lavender (Dual SIM);69000;67000;2000;80000;77000;3000;885;858;расхождение
iPhone;iPhone 17 256GB White (Dual SIM);69000;67000;2000;80000;77000;3000;885;858;расхождение
iPhone;iPhone 17 256GB Sage (Dual SIM);69000;67000;2000;80000;77000;3000;885;858;расхождение
iPad;Apple iPad 10.2 Wi-Fi 64GB Silver;29000;;;33000;;;315;;нет в прайсе
iPhone;iPhone 17 Pro Max 512GB Silver;117000;118000;-1000;134000;136000;-2000;1497;1510;расхождение
iPhone;iPhone 17 Pro 256GB Blue (Dual SIM);108000;103000;5000;124000;118000;6000;1379;1318;расхождение
iPhone;iPhone Air 256GB Black (eSIM);71000;71000;0;82000;82000;0;911;909;OK
iPhone;iPhone 17 Pro Max 256GB Silver;105000;100000;5000;120000;115000;5000;1340;1280;расхождение
iPhone;iPhone 13 128gb Midnight;42000;42000;0;48000;48000;0;534;538;OK
iPhone;iPhone 15 256GB Black;45000;57000;-12000;52000;66000;-14000;575;730;расхождение
iPhone;iPhone Air 512GB Gold (eSIM);71000;;;82000;;;911;;нет в прайсе
Mac;MacBook Air 15 (M4, 2025) 16/512 Starlight;123000;;;141000;;;1392;;нет в прайсе
Mac;Apple MacBook Air 15 M3/16/512 Silver;115000;;;132000;;;1301;;нет в прайсе
iPhone;iPhone 16 128GB Pink;56000;54000;2000;64000;62000;2000;716;691;расхождение
iPhone;iPhone 17 Pro Max 256GB Orange;104000;100000;4000;119000;115000;4000;1327;1280;расхождение
iPad;Apple IPad Pro 13 м5 (2025) Wi-Fi 256GB Silver;104000;;;120000;;;1128;;нет в прайсе
Mac;Apple MacBook Air 13 M4/16/512 Midnight;102000;;;117000;;;1154;;нет в прайсе
Mac;MacBook Air 15 (M4, 2025) 16/256 Starlight;102000;;;117000;;;1154;;нет в прайсе
iPhone;iPhone 16 plus 256 pink;74000;67000;7000;85000;77000;8000;950;858;расхождение
iPhone;iPhone 17 256GB Blue (Dual SIM);69000;67000;2000;80000;77000;3000;885;858;расхождение
iPhone;iPhone 17 Pro Max 1TB Blue;140000;;;161000;;;1796;;нет в прайсе
iPhone;iPhone 17 Pro 512GB Blue;119000;106000;13000;137000;122000;15000;1529;1357;расхождение
iPhone;iPhone 17 Pro Max 512GB Orange;115000;118000;-3000;132000;136000;-4000;1471;1510;расхождение
iPhone;iPhone 13 128gb Starlight;41000;42000;-1000;47000;48000;-1000;527;538;расхождение
iPhone;iPhone 17 256GB Black (Dual SIM);69000;67000;2000;80000;77000;3000;885;858;расхождение
iPhone;iPhone 17 Pro Max 256GB Orange (Dual SIM);112000;107000;5000;129000;123000;6000;1432;1370;расхождение
Mac;Apple MacBook Air 13 M1/8/256 Silver;62000;;;71000;;;702;;нет в прайсе
iPhone;iPhone 17 Pro 512GB Orange;112000;106000;6000;129000;122000;7000;1438;1357;расхождение
iPhone;iPhone 16 256GB Pink;63000;67000;-4000;72000;77000;-5000;807;858;расхождение
iPad;Apple IPad Air 11 м3 2024 Wi-Fi 256GB Starlight;62000;54000;8000;71000;62000;9000;672;634;расхождение
iPhone;iPhone 17 Pro Max 256GB Silver (Dual SIM);112000;107000;5000;129000;123000;6000;1432;1370;расхождение
iPhone;iPhone 17 Pro 512GB Silver;120000;106000;14000;139000;122000;17000;1542;1357;расхождение
iPhone;iPhone 17 Pro Max 1TB Orange;155000;;;178000;;;1985;;нет в прайсе
iPhone;iPhone 14 128gb Starlight;45000;45000;0;51000;52000;-1000;573;576;OK
iPad;Apple IPad Pro 11 м5 (2025) Cell 256GB Silver;85000;91000;-6000;98000;105000;-7000;922;1068;расхождение
iPhone;iPhone Air 512GB Cloud White (eSIM);71000;;;82000;;;911;;нет в прайсе
iPhone;iPhone 16 256GB Black;63000;67000;-4000;72000;77000;-5000;807;858;расхождение
iPhone;iPhone 15 128GB Black;42000;49000;-7000;49000;56000;-7000;540;627;расхождение
Mac;MacBook Air 15 (M4, 2025) 16/512 Midnight;123000;;;141000;;;1392;;нет в прайсе
iPhone;iPhone 17 256GB Blue;65000;62000;3000;75000;71000;4000;833;794;расхождение
iPhone;iPhone 17 Pro Max 1TB Silver;136000;;;157000;;;1744;;нет в прайсе
Mac;Apple MacBook Air 13 M2 8/256GB Space Grey;76000;;;87000;;;860;;нет в прайсе
Mac;Apple MacBook Air 13 M4/16/512 Starlight;102000;;;117000;;;1154;;нет в прайсе
iPad;iPad 11 A16 (2025) 256GB Pink Wi-Fi;50000;44000;6000;57000;51000;6000;542;516;расхождение
iPad;iPad 11 A16 (2025) 128GB Blue Wi-Fi;36000;32000;4000;41000;37000;4000;390;375;расхождение
iPad;Apple IPad Pro 13 м5 (2025) Wi-Fi 512GB Space Black;120000;;;138000;;;1301;;нет в прайсе
iPhone;iPhone 17 Pro Max 512GB Blue;117000;118000;-1000;134000;136000;-2000;1497;1510;расхождение
iPhone;iPhone 17 Pro 1TB Orange;131000;128000;3000;150000;147000;3000;1675;1638;расхождение
iPhone;iPhone 17 Pro 512GB Silver (Dual SIM);128000;118000;10000;147000;136000;11000;1640;1510;расхождение
Mac;Apple MacBook Air 15 M3/8/256 Silver;105000;;;121000;;;1188;;нет в прайсе
Mac;Apple MacBook Air 13 M3/8/256Midnight;80000;;;92000;;;905;;нет в прайсе
Mac;Apple MacBook Air 13 M3/16/512 Midnight;98000;;;113000;;;1109;;нет в прайсе
iPhone;iPhone 17 Pro Max 256GB Blue (Dual SIM);112000;107000;5000;129000;123000;6000;1432;1370;расхождение
iPhone;iPhone Air 256GB Cloud White (eSIM);71000;71000;0;82000;82000;0;911;909;OK
